ID	Application	10.00%	30.00%	50.00%	70.00%	90.00%
1	blackscholes	0.5726163358	0.5459016849	0.5534648246	0.7075540187	0.6306625426
2	bodytrack	0.3008923635	0.3616536808	0.244103301	0.2926289989	0.4513495805
3	facesim	0	0	0	0	0.1566037266
4	ferret	1.9575720429	1.8682048128	1.7032415307	1.9896817871	2.8276923352
5	fluidanimate	4.0891143619	4.1322647762	3.8224001787	4.0792980736	4.3927813811
6	freqmine	9.3401858153	11.4110406593	13.3206849433	14.7727822663	15.8797357983
7	raytrace	3.1189411126	2.6250956749	2.3894657113	2.0743579574	4.0475372503
8	swaptions	1.5974587275	0.9118451885	0.7000001714	0.815406263	3.3168425619
9	vips	0.7045292298	0.5753473088	0.6017685614	0.6768790783	2.8583454818
10	x264	4.7817450615	5.67511147	6.3865600353	5.4982594789	6.1171638724
11	canneal	1.2726161934	0.7654373851	3.5965002707	2.9300938511	3.3083954282
12	dedup	6.4949479578	6.9231668441	7.6782073694	7.7673980736	7.2966604746
13	streamcluster	3.9065162347	4.2390454852	7.5433328287	2.7344037723	3.2244910165
14	stream	2.0102789987	1.7207955821	1.0600457482	2.4189279584	4.163991578
15	swish	0.360788823	0.3172455794	0.3806187721	0.5321684349	0.6225480355
16	HOP	1.5833827176	2.385729473	1.7913064458	1.0008545573	1.5200429499
17	KMeans	0.3207174827	3.3487761123	0.1388034743	0.107826327	0.0810539261
18	Kmeans-Fuzzy	0.3741962287	0.5782715381	0.5749952835	0.3907012751	0.60021569
19	ScalParC	0.1551828931	0.2047065186	0.1869360658	0.4039964484	0.3544615224
20	SVM-RFE	1.05947861	0.3047927059	0.4064740715	1.6850768246	1.0810019178
21	Average	2.2000580595	2.444721624	2.6539454794	2.5439147722	3.1465788535
