ID	Application	10.00%	30.00%	50.00%	70.00%	90.00%
1	blackscholes	0.6724397351	0.632359067	0.5989255366	0.5354668536	1.034829126
2	bodytrack	0.2050954924	0.1773980384	0.3679834827	0.1787912969	0.1557824786
3	facesim	0	0	0	0.0057637855	0.021043439
4	ferret	1.8318852589	1.6897668056	1.7428349527	2.0024015867	3.1647388699
5	fluidanimate	3.3368322262	3.8035965118	3.6205322835	4.076138659	3.5139845792
6	freqmine	9.3270939987	11.4648137901	13.2166536601	14.7281323198	16.0603611958
7	raytrace	3.1600891308	2.5766964725	2.4132869797	2.2635180512	3.6083325919
8	swaptions	1.8222407046	1.0535489912	0.8242067732	0.8622143503	3.2680185917
9	vips	0.8559902246	0.6793593203	0.6051581	0.7320492856	2.9459350375
10	x264	4.0398859882	6.1196871758	5.6178851295	5.8810304283	5.7077392638
11	canneal	0.4995556154	3.4382708111	2.1684100141	3.3851013623	5.8378651141
12	dedup	6.5187838392	6.7286090879	7.2685487482	7.4935161283	8.4912752888
13	streamcluster	1.0878434048	1.2135426535	1.7308917569	1.9945098196	8.2130835061
14	stream	2.4620109956	1.577791685	1.8055242736	2.2221099098	3.0490830758
15	swish	0.3401202481	0.3959297701	0.3684426126	0.4640858152	0.6408024104
16	HOP	0.5072887544	1.9814816247	0.5789331309	1.2314637972	2.258025068
17	KMeans	0.1137453127	3.5672650974	0.1258320607	0.1598557674	0.1951984561
18	Kmeans-Fuzzy	0.3168358722	0.4683098823	0.2794081143	0.3095206618	0.4212453255
19	ScalParC	0.1767359982	0.270509602	0.1094156229	0.4262128323	0.3776922418
20	SVM-RFE	0.8730954364	0.3614140597	0.6062511225	1.1629613162	2.6318751909
21	Average	1.9073784118	2.4100175223	2.2024562177	2.5057422013	3.5798455425
