Benchmark OPTIMAL ONLINE OFFLINE LEO POET CALOREE-NP CALOREE
BACKPROP 0 7.47466 5.58284 5.88452 2.68093 10.6693 2.77063
BFS 0 16.887 9.78809 10.0778 1.65319 11.6345 2.55018
BLACKSCHOLES_10M 0 23.2747 3.45416 4.51708 2.02432 9.97189 2.93712
BODYTRACK 0 10.1418 16.2939 12.3005 1.67273 9.72485 1.6508
FACESIM 0 32.7581 13.5438 14.0578 1.68227 10.7267 2.66321
FERRET 0 25.5833 25.569 18.3338 1.64688 9.31119 1.92494
HEARTWALL 0 19.6826 6.77958 7.59952 1.74009 9.99775 2.47758
HOTSPOT 0 8.37997 9.21446 9.06515 1.76365 12.1846 3.04579
JACOBI 0 44.9068 17.862 5.59059 2.45908 10.5468 3.50753
KMEANS 0 15.38 25.6346 22.2468 1.81457 10.4326 2.07812
KMEANSNF 0 18.7313 7.35451 8.13491 6.12694 10.874 2.74054
LAVAMD 0 57.4125 1.75886 2.25753 24.4029 10.6748 3.2943
LEUKOCYTE 0 8.55737 9.10881 8.42309 1.46999 10.5476 2.35164
LUD 0 23.871 9.60052 8.93267 1.83074 11.1585 6.61793
NW 0 8.79591 9.33792 9.75718 1.37915 9.56576 1.95397
SHA 0 10.007 21.8974 17.7537 1.83084 10.1475 1.82151
SRAD 0 8.36186 16.6602 1.72348 1.83502 11.5053 3.78121
STREAM 0 1.14633 71.7206 0.796058 9.26417 15.1061 6.0812
STREAM_threads 0 24.8325 20.1014 0.706076 3.05693 13.7066 3.78638
X264_ducks 0 12.5252 14.6773 11.2401 1.68977 9.93163 1.90518
X264_native 0 16.3492 18.2634 15 1.8432 10.7576 2.01025
AVERAGE 0 17.9572 15.1911 8.83629 3.35761 10.4171 2.81591
