Benchmark OPTIMAL ONLINE OFFLINE LEO POET CALOREE-NP CALOREE
BACKPROP 0 4.99298 28.3749 8.74254 51.7766 12.4205 6.04572
BFS 0 4.43476 16.6117 0 44.4925 7.51641 3.74836
BLACKSCHOLES_10M 0 61.6576 56.6277 60.8721 71.0634 52.7672 5.79292
BODYTRACK 0 13.7398 0 6.95598 32.9152 15.8846 2.49201
FACESIM 0 12.1147 4.18958 12.0549 23.5039 10.7121 2.52338
FERRET 0 11.0347 0 2.05966 26.81 6.83323 1.61183
HEARTWALL 0 12.1721 0 8.27039 31.0589 2.83076 1.67891
HOTSPOT 0 1.56493 17.5395 17.7915 41.2782 10.4924 3.56634
JACOBI 0 31.4759 42.1141 20.2767 25.2539 16.5485 10.18
KMEANS 0 10.1993 0 0 22.2407 12.3594 0.764732
KMEANSNF 0 48.7063 8.95656 17.0406 41.2031 12.7625 4.17674
LAVAMD 0 76.6936 81.0658 81.0775 87.7389 52.542 28.9904
LEUKOCYTE 0 18.0438 49.403 49.3977 63.4525 14.9104 9.42706
LUD 0 91.827 5.0028 36.3805 93.0598 11.2843 4.21346
NW 0 0 19.437 5.55812 52.5249 13.9306 3.42101
SHA 0 6.74356 3.22533 12.2506 34.8385 7.9747 2.36217
SRAD 0 7.00111 10.933 5.87702 61.3702 8.73834 5.64676
STREAM 0 1.04817 37.4103 11.6275 31.5018 12.4671 11.0365
STREAM_threads 0 34.9556 54.0201 1.53591 34.1735 14.1797 13.0802
X264_ducks 0 16.8725 0 8.65564 31.9776 11.4114 2.11082
X264_native 0 12.3549 0 4.20017 28.9854 8.06212 1.66399
AVERAGE 0 21.7106 19.7687 16.8466 42.3282 14.3922 5.66061
