Benchmark OPTIMAL ONLINE OFFLINE LEO POET CALOREE-NP CALOREE
BACKPROP 0 20.7011 37.6277 11.8001 41.6703 18.9485 13.8577
BFS 0 11.0184 28.0301 3.85902 33.1235 9.05668 6.13828
BLACKSCHOLES_10M 0 67.7701 66.9556 9.68201 70.3458 25.0764 21.7086
BODYTRACK 0 6.14737 17.5565 15.1149 25.7989 10.4049 6.09421
FACESIM 0 19.5471 19.0991 19.091 20.3041 10.2215 8.77121
FERRET 0 13.31 4.74893 10.1289 18.6907 8.80036 5.08243
HEARTWALL 0 51.5487 50.231 51.8074 56.6566 26.3356 12.4135
HOTSPOT 0 8.64121 32.1808 8.77264 35.6978 10.6404 6.45641
JACOBI 0 30.4056 20.4357 20.4203 19.0783 12.8328 11.7272
KMEANS 0 14.1883 16.0078 13.1617 19.2025 7.24236 5.35844
KMEANSNF 0 63.3169 53.8 63.4085 55.4432 26.9885 15.2165
LAVAMD 0 76.5385 67.8371 22.9588 31.5179 34.87 33.6174
LEUKOCYTE 0 22.1288 22.1288 22.1685 39.9297 12.4289 11.9149
LUD 0 13.6652 29.5076 32.3312 29.3374 14.8206 11.3651
NW 0 11.7003 31.2593 8.5468 33.5452 8.75334 7.04391
SHA 0 4.63897 18.26 16.4506 28.3418 6.00199 5.97366
SRAD 0 30.4851 39.4501 19.1139 23.9741 16.9256 13.7155
STREAM 0 1.03682 20.56 0.868201 26.7833 11.7783 12.9071
STREAM_threads 0 32.714 32.905 0.906453 29.2147 15.8406 15.5795
X264_ducks 0 13.1459 13.4397 13.1479 19.5103 7.92517 5.98658
X264_native 0 11.4181 8.40271 11.4333 18.7978 7.16416 5.24913
AVERAGE 0 23.8212 28.6556 17.0533 30.7711 13.7753 10.7353
