Benchmark OPTIMAL ONLINE OFFLINE LEO POET CALOREE-NP CALOREE
BACKPROP 0 22.348 20.5397 8.42575 1.97821 10.0261 3.02642
BFS 0 9.70379 34.3292 12.4631 2.76011 10.3258 3.03314
BLACKSCHOLES_10M 0 22.62 36.6098 27.1823 3.88153 11.7233 3.83697
BODYTRACK 0 19.2579 36.5299 27.5662 3.68645 9.47482 3.45331
FACESIM 0 20.3787 21.8135 19.904 1.77454 10.3954 3.49612
FERRET 0 16.5445 32.4762 23.4536 2.15968 10.5142 2.87542
HEARTWALL 0 20.4878 33.7925 24.4794 2.63044 10.8983 3.44854
HOTSPOT 0 9.74712 37.8046 38.5905 2.9087 10.3958 2.8466
JACOBI 0 67.6342 11.9699 17.3392 2.02842 9.41056 3.12118
KMEANS 0 15.8708 35.6917 26.6218 4.27491 11.676 3.4658
KMEANSNF 0 19.2922 24.321 13.3083 6.04141 10.1294 3.62239
LAVAMD 0 34.0302 29.1994 29.4353 2.35018 9.64586 3.00311
LEUKOCYTE 0 26.2765 25.2962 25.2414 1.87833 10.4842 3.35099
LUD 0 81.6854 27.9457 8.95925 84.1566 11.1846 6.58671
NW 0 10.6073 27.2536 9.65626 2.18338 10.5625 2.83927
SHA 0 9.67518 40.2411 30.4332 5.52867 11.2161 3.60222
SRAD 0 12.0902 22.0307 9.39879 6.33328 12.0263 4.11465
STREAM 0 9.20128 12.4343 5.31508 3.30045 12.4376 4.61214
STREAM_threads 0 53.9922 12.5293 8.71391 2.56985 10.2636 3.12251
X264_ducks 0 13.9447 30.1112 20.3817 2.17769 10.9639 2.62828
X264_native 0 15.6772 31.6042 22.5454 2.01271 10.094 2.69348
AVERAGE 0 23.2302 26.5693 18.6097 6.66434 10.1749 3.30815
