Benchmark OPTIMAL ONLINE OFFLINE LEO POET CALOREE-NP CALOREE
BACKPROP 0 15.4182 36.0601 10.6102 36.5216 10.4123 8.75337
BFS 0 3.35987 16.9026 3.4362 39.8624 9.86726 4.95247
BLACKSCHOLES_10M 0 67.1578 64.3238 2.08409 71.9627 38.1531 16.2287
BODYTRACK 0 3.87367 3.5253 7.58159 26.1254 12.1484 3.96709
FACESIM 0 14.7091 14.7091 19.8176 23.7115 13.0409 5.50726
FERRET 0 18.4035 0.0600416 8.8141 20.5132 10.1913 3.29028
HEARTWALL 0 37.5339 27.8799 33.7958 42.8509 19.0521 4.8757
HOTSPOT 0 2.82092 17.8954 3.65192 35.7405 7.59811 4.85516
JACOBI 0 31.4218 32.0785 20.9078 20.5507 12.6257 10.993
KMEANS 0 12.7911 0.36556 1.77188 19.7871 11.3848 3.10622
KMEANSNF 0 31.4325 45.5082 28.3332 32.8991 14.103 7.1443
LAVAMD 0 68.8792 77.1702 23.2234 83.474 35.1536 32.1227
LEUKOCYTE 0 20.0322 39.2353 20.0168 53.8728 12.094 10.4475
LUD 0 0 9.26387 9.1945 93.9259 9.31107 7.88157
NW 0 0.94825 20.3093 20.3219 37.8637 9.1291 5.5604
SHA 0 5.18011 7.33654 11.0352 32.8556 7.04423 4.00246
SRAD 0 24.7299 16.9963 11.6247 18.9854 11.2632 9.29311
STREAM 0 1.32612 29.8686 7.50937 24.7278 11.8407 11.9056
STREAM_threads 0 33.9946 43.7437 1.36946 31.867 14.7049 14.8832
X264_ducks 0 16.5472 2.57107 11.8461 20.5401 10.3607 4.07823
X264_native 0 15.192 1.20568 10.3414 20.542 9.64688 3.37941
AVERAGE 0 19.3524 23.0459 12.1494 35.8718 13.1421 8.05581
