Benchmark OPTIMAL ONLINE OFFLINE LEO POET CALOREE-NP CALOREE
BACKPROP 0 0 32.3809 7.185 54.1756 18.7251 3.26188
BFS 0 4.71824 16.2115 21.8891 41.4188 10.8147 1.88978
BLACKSCHOLES_10M 0 0 0 0 3.3477 0 0
BODYTRACK 0 7.32823 0 0 23.1332 7.85491 3.76226
FACESIM 0 0 0 0 27.9247 0 1.64704
FERRET 0 16.4918 0 0 16.5446 0 6.53667
HEARTWALL 0 9.74199 0 0 17.8373 0 1.4784
HOTSPOT 0 3.36078 14.7825 14.9065 38.1264 10.5764 1.82763
JACOBI 0 10.6368 46.7104 11.956 66.666 20.6449 6.75672
KMEANS 0 12.2152 0 0 6.6677 0 0.710506
KMEANSNF 0 58.5646 2.76964 37.5928 49.6048 8.01072 2.27375
LAVAMD 0 65.7966 71.7925 71.0039 81.6495 53.2099 9.79555
LEUKOCYTE 0 52.5014 52.5014 52.471 68.0075 22.1646 6.9986
LUD 0 89.3658 0 89.3695 90.9722 0 0
NW 0 7.59702 19.8113 19.8236 49.1472 18.3821 1.42568
SHA 0 16.3551 0 1.40483 30.4295 7.97481 11.0144
SRAD 0 8.10398 15.7802 27.2072 58.0083 11.2681 3.83764
STREAM 0 0.647287 43.8708 21.6896 61.3189 15.2387 8.16406
STREAM_threads 0 34.6524 62.8461 30.6541 77.639 16.2338 12.067
X264_ducks 0 12.0786 0 0 8.67883 0 0
X264_native 0 17.9481 0 0 15.7189 0 1.39646
AVERAGE 0 19.4593 17.2481 18.507 40.3189 10.0499 3.85655
