Benchmark OPTIMAL ONLINE OFFLINE LEO POET CALOREE-NP CALOREE
BACKPROP 0 7.52786 17.8438 8.62675 1.87475 10.2633 2.38697
BFS 0 7.62456 36.946 10.8658 1.67625 10.9631 2.56823
BLACKSCHOLES_10M 0 22.782 43.0893 7.51108 1.92356 10.3101 3.03487
BODYTRACK 0 11.1923 42.3644 35.9154 1.9281 10.5661 2.42759
FACESIM 0 26.7098 20.1177 20.0645 1.8207 10.8797 2.71678
FERRET 0 18.022 38.2488 24.3543 1.70409 9.48064 2.26062
HEARTWALL 0 26.2711 40.1404 26.6537 1.91934 10.2799 2.54104
HOTSPOT 0 10.5353 40.3431 11.8969 1.95684 11.1944 2.66866
JACOBI 0 55.2323 9.76221 9.58291 2.50855 10.3076 3.22577
KMEANS 0 16.413 41.4389 28.1402 1.84016 10.1771 2.55191
KMEANSNF 0 33.4368 31.7372 34.2143 7.2447 10.9588 3.36501
LAVAMD 0 47.789 13.6695 5.6603 10.9922 10.5541 2.93874
LEUKOCYTE 0 12.0556 12.0556 11.8626 1.76634 11.0586 2.664
LUD 0 18.0023 36.6849 10.009 1.91226 10.8874 6.31045
NW 0 10.1123 28.062 8.71379 1.60257 9.46788 1.96831
SHA 0 10.3981 45.6617 40.2826 1.9512 10.8479 2.48781
SRAD 0 13.5552 37.1335 5.3053 2.16541 11.7775 4.04984
STREAM 0 4.9053 9.98381 3.40646 9.68768 13.5573 5.15948
STREAM_threads 0 37.5667 7.20903 4.44309 4.20294 13.0874 3.79518
X264_ducks 0 21.6107 35.8561 21.6252 1.8106 9.87202 2.27152
X264_native 0 22.7874 36.3501 22.8872 1.96886 10.7112 2.38744
AVERAGE 0 19.7513 28.3954 16.001 2.92987 10.3274 2.8991
