Benchmark OPTIMAL ONLINE OFFLINE LEO POET CALOREE-NP CALOREE
BACKPROP 0 12.4343 24.2258 27.353 15.3839 10.2219 3.65053
BFS 0 10.5069 28.154 28.379 17.0708 10.0125 3.46928
BLACKSCHOLES_10M 0 27.6535 25.927 27.6366 14.989 23.1001 13.7029
BODYTRACK 0 20.9075 26.8392 23.9256 15.2596 13.571 16.4455
FACESIM 0 20.9075 25.1692 25.0145 13.8597 13.4747 9.57905
FERRET 0 28.9066 24.3699 28.8827 16.6078 13.7459 15.0456
HEARTWALL 0 26.5376 24.0429 26.5128 15.5641 14.3977 11.3963
HOTSPOT 0 11.5 29.7967 30.1308 17.1578 12.6204 3.07479
JACOBI 0 10.9315 21.5796 21.2382 14.9987 11.9541 4.16731
KMEANS 0 29.1584 27.1052 29.1351 14.816 17.4008 15.354
KMEANSNF 0 33.6013 30.5862 33.6007 21.7878 11.9119 10.5295
LAVAMD 0 37.4426 24.4591 28.1247 14.0727 10.329 2.66258
LEUKOCYTE 0 9.59908 21.0565 20.5884 14.4878 11.075 3.9256
LUD 0 85.7246 20.9075 85.7423 87.7138 16.4097 14.7579
NW 0 9.75417 26.3603 26.4362 16.4379 10.6299 3.16971
SHA 0 24.091 28.145 24.0477 15.2226 12.9137 16.202
SRAD 0 27.7797 20.9075 31.256 23.3823 16.8148 15.3708
STREAM 0 20.4904 20.9397 9.21143 14.5979 10.9108 3.1545
STREAM_threads 0 63.8417 33.5432 25.0988 31.7171 10.1271 3.72173
X264_ducks 0 29.8281 20.9075 29.813 18.8158 24.1554 18.6965
X264_native 0 28.5483 23.6108 28.5246 17.2806 14.5594 11.8511
AVERAGE 0 25.9157 24.0288 27.7569 19.6011 13.1971 9.0876
