Benchmark OPTIMAL ONLINE OFFLINE LEO POET CALOREE-NP CALOREE
BACKPROP 0 0 30.3916 16.6897 41.2974 17.2282 0
BFS 0 0 23.7303 23.7665 31.6106 9.45423 0
BLACKSCHOLES_10M 0 7.19018 0 7.18719 0 0 0
BODYTRACK 0 9.11512 0 20.4023 5.43705 0 4.82145
FACESIM 0 28.8441 9.404 9.38033 22.0088 0 0.899584
FERRET 0 25.3007 6.94456 25.5774 15.934 0 10.8763
HEARTWALL 0 25.366 5.29495 25.3627 15.5219 0 0.294886
HOTSPOT 0 0 14.3157 14.382 25.8906 11.3923 0
JACOBI 0 0 40.3617 32.8389 48.116 0 2.04405
KMEANS 0 17.8031 0 17.9681 6.65765 0.135242 0.232896
KMEANSNF 0 49.2389 31.5354 49.2388 37.7692 0 0
LAVAMD 0 0 18.2613 10.4009 31.4964 0 6.48737
LEUKOCYTE 0 54.5611 57.6729 57.6502 61.2689 20.4763 0.255055
LUD 0 88.597 11.0945 88.6004 90.3506 0 0
NW 0 9.73701 16.5292 16.5411 32.1586 4.14418 0
SHA 0 32.88 3.74718 33.3142 19.6114 0 19.2169
SRAD 0 13.9093 32.2017 69.0234 60.8893 12.9482 30.0806
STREAM 0 0 52.3115 13.5292 57.651 16.6173 5.76914
STREAM_threads 0 31.4884 73.7366 27.115 80.1038 17.2425 10.8805
X264_ducks 0 7.73369 0 7.74935 0 0 0
X264_native 0 23.0689 6.29438 23.0653 15.1929 0 0.366138
AVERAGE 0 19.3106 19.7194 26.8083 31.7712 4.98357 4.19204
