Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
BACKPROP 0 2.96609 4.88429 26.3009 15.188 8.29074 46.6575 46.8551 12.5043 0.462752 11.6524 6.7313
BFS 0 22.2716 3.94603 14.4014 3.99232 0 37.5269 37.5269 10.565 1.59288 5.81131 5.66075
BLACKSCHOLES_10M 0 0 60.1647 55.1127 76.3249 59.3024 67.2294 67.2294 52.3773 68.4008 44.0084 53.7083
BODYTRACK 0 7.5225 12.2053 0 42.4078 5.19415 23.7111 23.7131 14.5302 28.7055 6.88413 3.40877
FACESIM 0 0 9.65455 1.4355 50.665 9.65291 27.029 27.0707 11.965 33.4657 34.1692 4.19965
FERRET 0 0.5088 9.47607 0 39.1994 0.237145 19.169 19.1735 6.23833 19.6173 5.21454 1.5848
HEARTWALL 0 5.71827 9.76542 0 43.9592 5.54144 24.0443 24.0445 5.52312 24.2229 11.9399 2.85396
HOTSPOT 0 1.2654 1.22832 15.6333 45.371 15.6333 32.6334 32.6334 9.5253 0.335471 5.01585 4.92546
JACOBI 0 16.7526 30.578 40.2172 17.6618 17.668 26.6683 29.085 19.2928 51.3032 12.1626 12.5451
KMEANS 0 0 8.95184 0 39.7039 0 13.8449 13.8474 10.9672 17.9818 6.51043 0
KMEANSNF 0 7.84461 47.9169 7.52995 65.4395 16.0877 21.193 50.1473 9.56705 62.0141 32.9387 6.70521
LAVAMD 0 0.485215 76.1556 80.5989 18.4485 80.5964 86.7223 86.7269 59.1027 87.0389 32.5541 30.4807
LEUKOCYTE 0 15.4867 15.4227 47.9168 15.4223 47.9172 59.547 60.1436 15.9352 51.7313 11.7752 12.3766
LUD 0 7.7223 91.7902 2.58506 91.7896 34.9624 24.5274 93.0477 11.4262 0 0 11.1265
NW 0 22.5266 0 17.0558 5.09751 5.09751 43.7487 43.7582 13.6419 1.25252 6.32475 6.06636
SHA 0 12.1599 6.9214 1.5646 43.2311 10.1696 27.4363 27.441 9.9597 34.7054 3.73739 3.54892
SRAD 0 4.13099 6.88424 8.49108 5.64097 5.64185 24.7837 25.1243 12.6889 26.1115 3.38661 7.87276
STREAM 0 0.0074471 0.351581 35.5395 19.112 11.1938 32.5779 34.5914 14.1017 0.551477 11.5344 12.6507
STREAM_threads 0 0.700901 33.8532 52.612 100 0.444194 34.9472 41.6582 18.5473 14.7685 100 16.78
X264_ducks 0 1.21743 14.8847 0 39.8581 6.36646 20.3643 20.3757 13.283 18.9311 21.252 3.00117
X264_native 0 0 9.78654 0 38.7705 1.3015 19.5445 19.5522 11.751 19.2316 22.9463 0
AVERAGE 0 6.15654 21.6582 19.3807 38.9183 16.2523 33.9955 39.226 16.3568 26.7821 18.5628 9.82033
