Benchmark OPTIMAL ONLINE OFFLINE LEO POET CALOREE-NP CALOREE
BACKPROP 0 12.1174 24.7771 7.97012 1.59215 10.1688 2.88973
BFS 0 12.9904 34.4494 13.7684 2.52861 10.1943 2.68671
BLACKSCHOLES_10M 0 27.8563 39.264 9.50707 2.28493 10.4879 2.84001
BODYTRACK 0 9.74054 38.8132 33.596 2.53065 10.5538 3.07446
FACESIM 0 20.5952 20.5952 16.3975 1.7516 10.3153 3.1771
FERRET 0 15.0709 34.7112 23.504 1.86597 9.90969 2.66295
HEARTWALL 0 19.9807 36.6759 25.0654 1.95768 10.1182 3.23323
HOTSPOT 0 11.8043 37.6235 18.9718 2.82926 10.658 2.74588
JACOBI 0 62.4097 10.1197 12.2445 2.37044 9.66362 3.08683
KMEANS 0 17.6091 38.0247 27.1268 2.27478 10.1269 3.00813
KMEANSNF 0 12.8712 43.16 14.4681 5.34348 10.9468 3.5976
LAVAMD 0 23.2058 25.107 7.9288 1.72149 9.72928 3.01013
LEUKOCYTE 0 17.3651 20.2468 17.2311 1.83495 10.4972 2.99472
LUD 0 21.4924 29.5491 9.41644 81.4883 11.1091 6.66416
NW 0 10.0138 26.4572 26.5169 1.68099 10.4878 2.56412
SHA 0 9.33588 42.7042 38.2789 4.25834 11.2128 3.20528
SRAD 0 25.8325 20.4675 7.69316 2.50951 12.2615 4.1745
STREAM 0 7.41129 10.8799 3.87686 6.78063 13.6679 4.95484
STREAM_threads 0 46.8831 9.9755 6.9344 3.49364 11.0897 3.37957
X264_ducks 0 16.4398 32.2682 20.897 1.844 9.66152 2.44105
X264_native 0 18.049 33.4044 22.5513 1.91805 9.89485 2.49865
AVERAGE 0 19.0488 27.6943 16.5429 6.12997 10.1252 3.13135
