Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
BACKPROP 0 5.20085 14.9356 34.0246 24.6678 9.82049 35.863 35.8694 12.1417 11.5627 10.8031 9.82192
BFS 0 1.69511 3.37319 14.9995 8.22631 3.37319 37.8397 37.8397 9.39323 6.63733 5.37889 6.27416
BLACKSCHOLES_10M 0 1.02763 66.2487 63.5429 0.939 0.940943 71.0134 71.0158 40.7177 29.355 18.0275 18.8242
BODYTRACK 0 13.6955 4.22665 1.98512 42.1979 5.72935 22.6425 22.6479 8.76278 5.50096 5.1068 5.73829
FACESIM 0 8.23343 12.3045 12.2882 19.4387 17.66 26.9768 27.1972 14.0594 7.78589 8.0284 8.19242
FERRET 0 7.08902 16.757 0 44.899 6.83262 18.7526 18.7556 9.72203 4.82729 4.01583 5.06962
HEARTWALL 0 32.1319 35.9211 26.2839 60.8288 32.097 42.0003 42.0013 26.4503 11.1145 8.01615 17.5563
HOTSPOT 0 3.87134 2.50464 15.9216 7.97889 3.42446 33.1908 33.1918 9.08598 6.09083 5.81685 6.36002
JACOBI 0 17.8032 30.5927 29.5996 18.12 18.133 20.2851 26.5645 14.9385 13.7563 12.473 14.2482
KMEANS 0 0 11.1494 0 46.6632 0 17.2794 17.2828 11.9914 4.53619 4.53963 4.59678
KMEANSNF 0 27.195 29.6932 44.5717 70.2078 26.5582 31.5312 31.4035 13.6864 11.9361 22.4193 9.67564
LAVAMD 0 0.284139 68.119 76.666 21.9633 21.9862 0.325286 0.338255 44.0533 38.9497 38.6318 37.6005
LEUKOCYTE 0 18.0736 17.3706 37.3255 17.3699 17.3757 48.4558 50.0244 14.7925 14.3114 11.7223 12.9269
LUD 0 11.1662 0 6.88322 9.06078 9.06135 22.289 22.2896 11.1099 6.99762 5.45574 7.40451
NW 0 17.9402 0.359463 17.8839 16.7937 17.8835 35.412 35.3451 10.5576 7.8397 7.46737 7.54305
SHA 0 15.4889 4.34595 4.98617 42.5876 8.23468 28.5532 28.555 8.04927 5.48179 5.45539 5.69059
SRAD 0 10.1581 24.765 14.5104 11.0455 11.0502 18.05 18.0655 15.1613 10.1586 8.51922 11.1676
STREAM 0 0 0 27.1305 18.2891 6.34143 22.3662 29.5706 13.7327 15.184 13.2812 14.7127
STREAM_threads 0 0.744117 32.6395 41.6921 100 0 31.0865 39.011 17.2738 19.4669 100 17.8676
X264_ducks 0 4.73598 14.6938 0.488062 45.1964 9.83838 18.0931 18.2726 12.3974 5.45991 4.061 5.30934
X264_native 0 8.64446 13.3489 0 46.257 8.3177 18.7561 18.759 12.5164 5.16523 4.56097 4.84499
AVERAGE 0 9.77041 19.2071 22.4182 32.0348 11.1742 28.6077 29.7143 15.7426 11.5294 14.4657 11.0203
