Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
BACKPROP 13.3333 78.9744 43.8462 100 0.25641 76.9231 78.2051 78.2051 45.8974 4.10256 3.33333 5.64103
BFS 12.5641 11.5385 3.84615 100 0.25641 77.4359 82.0513 82.0513 42.3077 0 4.61538 6.15385
BLACKSCHOLES_10M 78.7179 79.7436 77.4359 100 77.4359 77.4359 81.7949 81.7949 82.5641 77.1795 77.1795 77.1795
BODYTRACK 56.6667 79.4872 76.9231 100 76.9231 76.9231 81.2821 81.2821 57.4359 76.9231 78.7179 78.2051
FACESIM 67.1795 80.2564 76.9231 100 76.9231 76.9231 80.5128 81.0256 59.7436 78.7179 77.6923 77.6923
FERRET 80 80.7692 80.2564 100 80.2564 80.2564 82.3077 82.3077 64.8718 76.9231 78.7179 77.9487
HEARTWALL 78.4615 79.7436 76.9231 100 76.9231 76.9231 81.7949 81.7949 62.5641 76.9231 77.9487 77.9487
HOTSPOT 13.8462 9.23077 24.6154 100 0.512821 83.3333 85.3846 85.3846 56.6667 0.25641 5.38462 7.94872
JACOBI 14.359 80.5128 8.71795 100 76.9231 76.9231 81.2821 83.8462 50.2564 0.512821 4.35897 6.92308
KMEANS 80.2564 81.0256 82.0513 100 82.0513 82.0513 81.0256 81.0256 73.8462 76.9231 77.9487 77.6923
KMEANSNF 9.23077 78.4615 100 100 100 100 86.6667 90.7692 51.0256 85.641 100 77.9487
LAVAMD 9.74359 78.4615 100 100 76.9231 77.9487 79.7436 79.7436 50.5128 85.8974 77.4359 3.84615
LEUKOCYTE 8.46154 8.97436 0.25641 100 77.6923 76.9231 78.9744 78.9744 46.4103 1.28205 77.9487 7.69231
LUD 77.9487 78.7179 100 100 100 100 82.0513 100 62.8205 100 100 77.6923
NW 10.5128 78.9744 0.25641 100 76.9231 76.9231 78.7179 78.9744 46.1538 0 77.4359 4.87179
SHA 33.0769 78.2051 76.9231 100 76.9231 76.9231 80.5128 80.5128 58.2051 76.9231 77.4359 77.9487
SRAD 78.7179 79.7436 77.4359 100 94.6154 94.6154 78.9744 78.7179 72.5641 76.9231 94.6154 78.2051
STREAM 11.7949 12.5641 100 100 0.25641 0.25641 78.9744 80 43.5897 100 7.17949 12.3077
STREAM_threads 12.3077 10.7692 100 100 100 76.9231 99.2308 99.2308 44.8718 100 100 10.5128
X264_ducks 79.2308 79.2308 83.5897 100 83.5897 82.3077 80.7692 81.0256 83.5897 76.9231 78.2051 77.9487
X264_native 79.2308 80.5128 78.9744 100 78.9744 78.9744 82.5641 82.5641 68.2051 76.9231 79.2308 78.2051
AVERAGE 43.1258 63.138 65.1893 100 67.3504 77.4725 82.0391 83.2967 58.2906 59.475 64.5421 47.6435
