Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
BACKPROP 0 2.7889 4.70594 26.1617 15.0429 8.18776 47.0878 47.334 15.1234 8.97755 11.3673 6.36719
BFS 0 22.3192 3.96708 14.3664 3.96814 0 37.5707 37.5707 7.76628 4.82723 5.48708 4.87876
BLACKSCHOLES_10M 0 1.34696 66.7278 62.5111 80.2233 66.0196 72.7981 72.7989 60.3791 30.3399 68.0359 61.2908
BODYTRACK 0 8.26599 12.8544 0 42.8319 5.89417 24.5018 24.5032 12.3445 3.86613 7.06578 3.474
FACESIM 0 0 9.96033 1.76124 50.8305 9.95158 27.7553 27.7711 14.0298 4.67497 34.3319 4.6613
FERRET 0 0.773565 9.7402 0 39.3775 0.52719 20.0416 20.0449 9.42671 2.33306 5.35932 2.99624
HEARTWALL 0 6.03114 10.062 0 44.1453 5.85319 25.0099 25.0115 8.49539 5.90483 11.8661 3.31427
HOTSPOT 0 1.14911 1.06161 15.4832 45.2707 15.4832 32.5025 32.5031 6.60551 4.02218 4.83288 4.1572
JACOBI 0 16.9179 30.7142 40.3402 17.831 17.8375 24.6026 26.3058 19.9409 12.4165 12.5735 12.578
KMEANS 0 0 9.83931 0 40.2927 0 14.7922 14.7931 13.5896 2.54763 7.38938 2.63858
KMEANSNF 0 7.78013 47.9489 7.58731 65.4611 16.1376 18.4911 18.5707 10.7127 7.13414 19.6012 6.55515
LAVAMD 0 0.298322 76.1034 80.5564 18.3403 80.5564 86.7883 86.7903 57.1816 37.6011 28.2298 28.9045
LEUKOCYTE 0 15.6881 15.6551 48.0587 15.654 48.0591 59.843 60.3652 18.2553 12.1723 11.4892 11.5934
LUD 0 8.19524 91.8374 3.14571 91.8374 35.3506 24.835 24.8376 9.49607 3.81342 0 4.6234
NW 0 22.6829 0 17.1753 5.251 5.251 44.0351 44.0364 14.3479 6.1236 6.55006 6.13643
SHA 0 12.4572 7.2838 1.94328 43.4536 10.5153 27.6899 27.6912 10.703 4.18747 3.99441 3.53172
SRAD 0 4.33125 7.04109 8.57036 5.76089 5.76221 23.6528 24.0231 10.4236 6.2727 3.02945 7.1967
STREAM 0 0 0.296352 35.4976 19.0602 11.1442 29.6795 31.0276 15.2884 14.3131 11.887 12.9278
STREAM_threads 0 0.783832 33.8901 52.6367 100 0.499498 32.0988 39.1694 16.8364 17.3025 100 17.1805
X264_ducks 0 1.8045 15.3798 0 40.2168 6.92392 20.8763 20.8788 16.1626 3.63627 15.2524 3.62434
X264_native 0 0 10.5924 0 39.3118 2.18347 20.2794 20.2827 5.997 2.07313 22.9907 2.58344
AVERAGE 0 6.36258 22.1743 19.7998 39.2458 16.7685 34.0444 34.5862 16.8146 9.2638 18.6349 10.0578
