Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
BACKPROP 0 2.19986 0 31.1555 13.2961 7.90431 45.5971 45.8386 15.9709 8.07164 10.9603 6.29032
BFS 0 18.8413 3.91983 13.6556 37.5501 13.6556 35.0846 35.0846 9.64243 4.36113 5.65909 4.53843
BLACKSCHOLES_10M 0 12.3147 16.891 5.98507 47.902 12.2436 28.4555 28.4577 14.1141 20.8671 36.8199 20.3343
BODYTRACK 0 0 11.8353 0 44.8177 0 16.7542 16.755 10.9683 2.5259 7.24591 2.59496
FACESIM 0 0 1.01925 0 53.2485 1.10249 22.6357 22.6338 9.31811 3.7885 36.8708 2.80992
FERRET 0 0 15.3601 0 32.308 0 12.1877 12.1887 2.33114 1.49828 3.83 1.49926
HEARTWALL 0 0 2.48189 0 36.0627 0 15.9241 15.9254 0 2.46103 9.56039 1.70567
HOTSPOT 0 20.5464 1.80557 12.3257 32.1043 12.3136 29.7922 29.7922 12.0927 3.30689 8.85943 3.60631
JACOBI 0 13.7361 28.436 44.3868 14.9567 14.9608 55.9202 56.3357 22.0568 11.8713 10.9936 11.2617
KMEANS 0 0 0 0 26.3809 0 0 0 0.749981 0 0 0
KMEANSNF 0 3.05884 54.3901 2.74632 62.0388 10.8365 42.9961 43.0703 9.78064 6.19417 17.5099 5.56734
LAVAMD 0 1.92195 79.4168 81.1474 90.7957 81.1474 86.946 86.946 70.5301 47.2894 87.6225 61.9168
LEUKOCYTE 0 1.17504 36.8574 48.811 71.0585 48.8125 63.3024 63.3725 19.4155 11.1329 15.6181 10.1507
LUD 0 5.16463 91.0384 0 91.0407 91.0407 25.2153 79.7229 5.95469 2.93724 0 3.94611
NW 0 1.49085 1.45098 16.793 64.4944 16.793 40.3528 40.3519 16.1395 4.8621 11.913 5.06787
SHA 0 9.24863 16.4931 0 46.599 4.19459 21.1047 21.1054 7.32962 2.52665 5.76575 1.91245
SRAD 0 3.46468 3.38835 12.9614 69.7692 20.5605 29.4931 49.7612 8.799 2.72231 0 12.5429
STREAM 0 0.0183345 0.540671 39.6215 19.3362 19.3378 49.1106 49.8908 15.5102 13.8515 11.7656 11.0752
STREAM_threads 0 0.169137 33.9558 57.6492 100 28.9415 69.3951 69.9662 17.993 17.7963 100 15.1459
X264_ducks 0 0 24.632 0 34.0175 0.229965 20.5883 20.59 11.1469 2.26867 20.8812 2.37756
X264_native 0 0 8.05834 0 31.6117 0 13.3312 13.3325 1.77123 1.82756 20.7947 1.68384
AVERAGE 0 4.44526 20.57 17.4875 48.5423 18.2893 34.4851 38.1486 13.4102 8.19812 20.1272 8.85845
