Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
BACKPROP 3.07692 5.89744 3.07692 100 0 0 1.53846 3.07692 40 7.69231 8.20513 7.69231
BFS 3.07692 2.82051 13.8462 100 0 18.2051 3.07692 3.07692 38.7179 0 8.46154 8.71795
BLACKSCHOLES_10M 3.33333 2.82051 76.9231 100 0 0 3.84615 3.84615 39.2308 2.30769 3.84615 4.10256
BODYTRACK 1.53846 77.1795 0 100 15.3846 95.8974 2.30769 1.79487 37.4359 0 3.07692 2.30769
FACESIM 2.82051 77.9487 76.9231 100 0 73.5897 2.5641 4.10256 42.3077 1.79487 5.12821 2.82051
FERRET 3.07692 77.1795 37.9487 100 14.359 76.9231 2.5641 3.07692 40.2564 1.79487 4.35897 1.28205
HEARTWALL 2.82051 77.4359 76.9231 100 11.5385 76.9231 3.33333 3.58974 40.2564 2.05128 4.35897 2.30769
HOTSPOT 2.5641 3.33333 2.30769 100 0 99.7436 3.33333 3.07692 41.5385 0 6.41026 5.64103
JACOBI 4.61538 14.6154 100 100 18.4615 21.5385 23.3333 34.359 40.5128 45.8974 7.94872 5.38462
KMEANS 1.28205 77.1795 74.8718 100 12.3077 76.9231 0.769231 0.769231 40.5128 1.79487 2.82051 3.07692
KMEANSNF 3.84615 38.7179 20.2564 100 16.1538 47.4359 17.9487 17.4359 38.9744 11.5385 4.61538 3.07692
LAVAMD 2.05128 3.33333 76.9231 100 0 0 28.7179 3.58974 36.6667 3.07692 7.17949 7.17949
LEUKOCYTE 3.84615 68.4615 74.359 100 74.359 74.359 7.4359 2.5641 38.4615 18.4615 7.69231 4.61538
LUD 3.33333 78.2051 100 100 0 0 4.35897 100 38.9744 5.12821 48.2051 48.9744
NW 3.33333 77.1795 0.25641 100 0 76.9231 3.33333 3.07692 42.5641 0 5.89744 2.82051
SHA 3.84615 77.6923 0 100 15.8974 100 6.41026 6.66667 40 0 4.61538 3.07692
SRAD 2.82051 63.5897 100 100 0 0 12.5641 12.5641 40.5128 30.2564 4.61538 5.64103
STREAM 1.28205 2.30769 0 100 22.0513 0 22.8205 34.8718 38.4615 0.512821 13.0769 11.7949
STREAM_threads 2.82051 2.5641 100 100 100 0 38.4615 36.1538 41.0256 100 100 10.7692
X264_ducks 4.35897 77.6923 62.5641 100 15.641 76.9231 5.12821 5.64103 40 2.05128 3.58974 2.5641
X264_native 3.33333 77.6923 76.1538 100 13.0769 76.9231 3.33333 3.33333 36.6667 1.79487 4.10256 0.769231
AVERAGE 3.00366 46.8498 51.1111 100 15.6777 47.2528 9.38949 13.6508 39.6703 11.2454 12.2955 6.88645
