Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
BACKPROP 0 2.17377 0 31.0382 13.1807 7.80352 45.7063 45.9198 12.3451 0 10.1298 6.01324
BFS 0 18.4111 3.48289 13.2518 37.2629 13.2017 34.9384 34.9384 12.0134 3.33337 6.45941 4.54621
BLACKSCHOLES_10M 0 11.1265 15.7749 4.72333 47.2029 11.066 27.5415 27.5473 14.7007 42.5612 39.6923 2.70728
BODYTRACK 0 0 11.3927 0 44.5401 0 16.4087 16.4178 12.9057 39.3432 31.6681 2.65027
FACESIM 0 0 0.0756818 0 52.7595 0.0718336 22.0747 22.0721 4.32092 46.4777 46.9815 1.98889
FERRET 0 0 15.017 0 32.0339 0 11.8199 11.8212 1.73029 25.9292 3.30159 0
HEARTWALL 0 0 1.75623 0 35.5878 0 15.2753 15.2762 1.81663 29.8429 9.00996 1.99235
HOTSPOT 0 20.5546 1.72971 12.1727 31.9825 12.1727 29.7999 29.8012 10.4418 0 8.72475 4.06704
JACOBI 0 13.3675 28.071 44.1017 14.5207 14.5251 57.4082 58.3352 21.5558 41.9332 10.928 11.3642
KMEANS 0 0 0 0 26.6314 0 0 0 0 19.1085 0 0
KMEANSNF 0 2.80271 54.2225 2.39043 61.9538 10.6308 43.5513 44.9563 9.33938 58.1897 49.4806 5.39928
LAVAMD 0 0 78.869 80.6586 90.5616 80.6683 86.6228 86.623 69.3049 88.055 89 52.8187
LEUKOCYTE 0 1.06352 36.8136 48.7697 71.0355 48.7713 62.9919 63.0241 20.6 54.6262 11.0979 11.4475
LUD 0 4.64792 90.9867 0 90.9867 90.9867 24.1408 92.3698 3.68877 0 0 4.71936
NW 0 1.03078 0.889378 16.322 64.2949 16.322 40.1026 40.1026 15.1623 0.263451 17.6669 4.86602
SHA 0 9.07744 16.2755 0 46.4605 3.94935 21.1342 21.0547 9.1767 42.3062 5.79082 3.24356
SRAD 0 4.15585 4.16001 13.6588 70.0112 21.1993 29.5414 50.3701 11.5462 26.574 0 26.0879
STREAM 0 0 0.575435 39.6371 19.3537 19.3557 49.9411 51.5554 16.523 19.736 11.6569 11.2321
STREAM_threads 0 0.193723 34.0048 57.6771 100 28.9856 70.8831 71.2232 18.8082 14.9358 100 15.7372
X264_ducks 0 0 23.7453 0 33.268 0 18.7548 18.7545 11.8923 27.2738 9.47222 0
X264_native 0 0 7.78007 0 31.2987 0 12.884 12.886 1.15014 25.437 4.18191 0
AVERAGE 0 4.21931 20.2677 17.3525 48.3299 18.0814 34.3581 38.8119 13.2868 28.8536 22.1544 8.1372
