Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
BACKPROP 0 1.42867 0 30.7608 7.19359 7.19404 42.0532 42.0518 20.4398 6.81629 7.54827 6.24129
BFS 0 5.33238 3.89651 13.3892 33.3494 19.3353 32.3093 32.3093 12.666 3.4224 14.8522 3.43006
BLACKSCHOLES_10M 0 0 0 0 17.6299 0 0 0 0 0 7.55537 0
BODYTRACK 0 0 9.3337 0 37.8211 0 6.54558 6.54727 5.9883 1.54858 3.50837 0.84944
FACESIM 0 0 0 0 44.7995 0 9.72753 9.60157 0 1.35259 26.9096 1.45681
FERRET 0 0 14.3239 0 25.4119 0 3.51024 3.51143 0 0.339512 0.42799 0.202732
HEARTWALL 0 0 5.23883 0 25.3227 0 2.04882 2.04925 0 0 0.723844 0
HOTSPOT 0 22.4067 2.56911 12.0427 27.4496 12.0427 25.6795 25.6795 15.068 2.25014 9.95232 3.2515
JACOBI 0 9.93807 8.93879 45.5705 9.80512 9.80667 55.7374 56.2262 24.5937 9.50521 8.61291 9.8852
KMEANS 0 0 11.0441 0 18.2772 0 0 0 0 0 0 0
KMEANSNF 0 0 58.2717 1.92733 58.2717 37.0821 37.3156 37.3387 6.26398 4.27829 21.7252 4.04548
LAVAMD 0 44.8983 67.1914 72.8159 84.6718 72.0747 78.4459 78.4459 61.7899 42.7788 64.5441 59.518
LEUKOCYTE 0 2.1539 51.2343 51.2229 70.2082 51.2115 62.5813 62.5813 22.1907 9.96457 46.2123 9.54306
LUD 0 0 88.7869 0 88.7869 88.7869 7.36191 74.1465 0 0 0 0
NW 0 17.7043 7.49223 17.6836 60.8792 17.6831 34.5466 34.5466 21.2482 4.39878 18.5455 3.23399
SHA 0 8.84873 16.0467 0 41.7492 0.983016 14.6492 14.6492 6.76756 1.97318 6.7493 1.56266
SRAD 0 6.01797 5.95427 13.8751 69.079 25.7651 28.8321 48.5155 6.96582 0 19.9667 0
STREAM 0 19.311 0.588843 42.4649 19.2331 19.2335 51.0115 51.6471 17.6684 12.5715 11.2457 10.4764
STREAM_threads 0 0.475641 33.5545 61.7416 100 28.4252 69.7745 70.2199 18.2181 14.3059 100 14.4297
X264_ducks 0 0 14.4507 0 20.977 0 5.89672 5.89863 3.72777 0 6.1961 0
X264_native 0 0 15.4531 0 22.9747 0 2.54269 2.54433 0 0 11.3375 0
AVERAGE 0 6.59598 19.7319 17.3093 42.09 18.5535 27.17 31.3576 11.5998 5.50027 18.4102 6.10125
