Number Benchmark min Avg max
1 OPTIMAL 0.0 0.0 0.0
2 RACE 0.0 0.0 0.0
3 CONTROL 3.97 28.22 6.02
4 ONLINE 21.88 44.13 17.07
5 OFFLINE 6.46 11.35 11.72
6 NUCLEAR 6.16 16.96 3.83
7 HBM 19.64 58.39 23.58
8 ADAPT-CONTROL 2.38 14.24 4.2
9 CALOREE-NP 1.12 45.06 1.82
10 ONLINE-ADAPT 4.77 17.61 4.77
11 NUCLEAR-ADAPT 0.68 10.98 0.53
12 HBM-ADAPT 0.69 5.5 0.59
