Sample size	Est rate	Est power	Online rate	Online power
0	0.703662815	0.899973754	0	0
1	0.703662815	0.899973754	0	0
2	0.782651203	0.902110919	0	0
3	0.776961876	0.902241387	0	0
4	0.810887357	0.90259196	0	0
5	0.790521948	0.903257794	0	0
6	0.826364719	0.909670272	0	0
7	0.839255607	0.931251297	0	0
8	0.849373975	0.903872456	0	0
9	0.865062963	0.908094132	0	0
10	0.874358449	0.915854738	0.221814874	0.482282577
11	0.86401813	0.910606778	0.572892766	0.495163603
12	0.863867675	0.911601365	0.586850194	0.702583472
13	0.893399204	0.924932067	0.575239846	0.56812598
14	0.893399204	0.924932067	0.575239846	0.56812598
15	0.882756796	0.910147054	0.602016024	0.689898628
16	0.888235873	0.915693287	0.614608153	0.74705546
17	0.888235873	0.915693287	0.614608153	0.74705546
18	0.888235873	0.915693287	0.614608153	0.74705546
19	0.901150339	0.919072815	0.614204291	0.73398836
20	0.901150339	0.919072815	0.614204291	0.73398836
21	0.901150339	0.919072815	0.614204291	0.73398836
22	0.912910783	0.920701387	0.625359528	0.77282952
23	0.912910783	0.920701387	0.625359528	0.77282952
24	0.912910783	0.920701387	0.625359528	0.77282952
25	0.912910783	0.920701387	0.625359528	0.77282952
26	0.925507533	0.933951077	0.624675135	0.776639042
27	0.925507533	0.933951077	0.624675135	0.776639042
28	0.925507533	0.933951077	0.624675135	0.776639042
29	0.925507533	0.933951077	0.624675135	0.776639042
30	0.925507533	0.933951077	0.624675135	0.776639042
31	0.925507533	0.933951077	0.624675135	0.776639042
32	0.936358668	0.937329112	0.625122546	0.778104852
33	0.936358668	0.937329112	0.625122546	0.778104852
34	0.936358668	0.937329112	0.625122546	0.778104852
35	0.936358668	0.937329112	0.625122546	0.778104852
36	0.936358668	0.937329112	0.625122546	0.778104852
37	0.936358668	0.937329112	0.625122546	0.778104852
38	0.936358668	0.937329112	0.625122546	0.778104852
39	0.936358668	0.937329112	0.625122546	0.778104852
40	0.936358668	0.937329112	0.625122546	0.778104852
41	0.936358668	0.937329112	0.625122546	0.778104852
42	0.936358668	0.937329112	0.625122546	0.778104852
43	0.950401837	0.953720291	0.632339043	0.793225232
44	0.950401837	0.953720291	0.632339043	0.793225232
45	0.950401837	0.953720291	0.632339043	0.793225232
46	0.950401837	0.953720291	0.632339043	0.793225232
47	0.950401837	0.953720291	0.632339043	0.793225232
48	0.950401837	0.953720291	0.632339043	0.793225232
49	0.950401837	0.953720291	0.632339043	0.793225232
50	0.950401837	0.953720291	0.632339043	0.793225232
51	0.950401837	0.953720291	0.632339043	0.793225232
52	0.950401837	0.953720291	0.632339043	0.793225232
53	0.950401837	0.953720291	0.632339043	0.793225232
54	0.950401837	0.953720291	0.632339043	0.793225232
55	0.950401837	0.953720291	0.632339043	0.793225232
56	0.950401837	0.953720291	0.632339043	0.793225232
57	0.950401837	0.953720291	0.632339043	0.793225232
58	0.950401837	0.953720291	0.632339043	0.793225232
59	0.950401837	0.953720291	0.632339043	0.793225232
60	0.950401837	0.953720291	0.632339043	0.793225232
61	0.950401837	0.953720291	0.632339043	0.793225232
62	0.950401837	0.953720291	0.632339043	0.793225232
63	0.950401837	0.953720291	0.632339043	0.793225232
64	0.969687219	0.968267642	0.634080588	0.796047663
