Number	Benchmark	Min	Avg	Max
1	RACE	40.2662	52.361	33.5063
2	ONLINE	34.7613	22.431	18.25035
3	OFFLINE	48.3392	18.282	18.282
4	NUCLEAR	31.4515	32.951	16.3131
5	HBM	37.5703	19.622	19.622
6	CONTROL	40.2512	24.943	20.05302
7	ADAPT-CONTROL	74.0025	19.754	19.754
8	CALOREE-NP	29.2407	12.94	12.94
9	ONLINE-ADAPT	32.1211	10.558	10.558
10	NUCLEAR-ADAPT	48.2921	8.901	8.789884
11	HBM-ADAPT	15.7605	4.342	3.921167
12	OPTIMAL	0	0	0
