Number Benchmark min Avg max
1 OPTIMAL 0.0 0.0 0.0
2 RACE 11.35 55.86 7.37
3 CONTROL 5.16 20.9 3.7
4 ONLINE 1.86 14.28 4.48
5 OFFLINE 11.16 40.22 8.43
6 NUCLEAR 9.16 16.12 11.75
7 HBM 15.29 34.79 10.26
8 ADAPT-CONTROL 6.41 12.63 4.25
9 CALOREE-NP 2.01 11.65 2.2
10 ONLINE-ADAPT 3.59 13.02 2.04
11 NUCLEAR-ADAPT 0.74 9.79 1.06
12 HBM-ADAPT 2.82 4.36 3.13
