name est_rate est_power online_rate online_power offline_rate offline_power
BACKPROP 0.866595788064276 0.910600810173494 0.77149177476658 0.919113286318493 0.264874171013116 0.871696167660306
BFS 0.868065019283927 0.8906710287533 0.936352087994621 0.936220128877019 0.614397333538932 0.854343714926435
BLACKSCHOLES_10M 0.920158650983679 0.980535105559811 0.685596112680175 0.798083491822022 0.706635194256086 0.969967547832334
BODYTRACK 0.978120851810625 0.987923882656473 0.666382891547662 0.819638939861932 0.88729624940431 0.974458133645282
FACESIM 0.975758370657159 0.98561106029052 0.506895428884611 0.770973024978889 0.950929464979959 0.957783334569369
FERRET 0.974792129842186 0.965294895218477 0.589607881741996 0.775475165488736 0.830100147824753 0.964108924451044
HEARTWALL 0.969848849284872 0.971386530044397 0.644954207107571 0.798760319269578 0.838518869311128 0.970440352226624
HOTSPOT 0.885049473498386 0.88886717098629 0.926735798489627 0.9319281016354 0.688650531238791 0.850548538488129
JACOBI 0.931156772126705 0.967385077009759 0.469425388574956 0.730716320235099 0.821094202692963 0.920975277035422
KMEANS 0.972279331046561 0.981016366290752 0.614052466325134 0.786817120235465 0.797726338102283 0.963619011641192
KMEANSNF 0.946981143307272 0.978662870784502 0.576144950952285 0.781572719144745 0.834506272638454 0.971162003010654
LAVAMD 0.839075387925705 0.972207812839017 0.63075391230634 0.78070173193748 0.684117002063591 0.944591570190874
LEUKOCYTE 0.939664060868078 0.95608629835437 0.585576986878935 0.774725212161563 0.915311783858128 0.96300746208605
LUD 0.759196009486061 0.712344936717299 0.231287156040984 0.472870953582005 0.0799116405269411 0.686077947867427
NW 0.936151769729059 0.973988623283805 0.720876349164205 0.810471587238342 0.819145707789262 0.929071665660271
SHA 0.969088387100032 0.986671639441596 0.678447625799665 0.822379894545395 0.863330592335948 0.972343300577034
SRAD 0.738620268497971 0.534218597605132 0.270578955555048 0.24666329148572 0.234310704077449 0.467958929476782
STREAM 0.837949917038075 0.805521810266439 0.774480255209306 0.913925016320079 0.305108468603168 0.686517493818833
STREAM_threads 0.828293579702825 0.978926725133338 0.587894525021861 0.769257785190888 0.245337623721401 0.972827660483429
X264_ducks 0.978603177292201 0.938119640228495 0.58874873601974 0.774928352422217 0.876953230502712 0.937587476796034
X264_native 0.978687442217461 0.962389744665627 0.58636576349119 0.775732219437431 0.850801792257367 0.963149826395843
