ID	Application	10.00%	30.00%	50.00%	70.00%	90.00%
1	blackscholes	1.310989	1.288725	1.219779	1.149346	1.064636
2	bodytrack	1.042295	1.045089	1.038255	1.021265	0.983895
3	facesim	1.094144	1.119674	1.128689	1.137306	1.144972
4	ferret	1.268955	1.26564	1.231794	1.172699	1.113024
5	fluidanimate	1.294619	1.282942	1.286461	1.264081	1.203331
6	freqmine	1.496233	1.79697	2.110313	2.385325	2.567832
7	raytrace	1.321205	1.308167	1.265317	1.201017	1.169628
8	swaptions	1.361871	1.340701	1.269681	1.189607	1.140087
9	vips	1.333852	1.309797	1.2521	1.171988	1.108959
10	x264	1.320539	1.360244	1.304266	1.30017	1.251941
11	canneal	1.399368	1.392187	1.315801	1.28698	1.263404
12	dedup	1.207321	1.224276	1.247403	1.251158	1.110969
13	streamcluster	0.878109	0.768143	0.762915	0.73291	0.705146
14	stream	1.416463	1.431599	1.28283	1.12146	0.965318
15	swish	1.367727	1.360721	1.34988	1.312545	1.259214
16	HOP	1.026572	1.052797	1.002536	1.031794	0.842607
17	KMeans	1.597361	1.501507	1.509347	1.483789	1.351942
18	Kmeans-Fuzzy	1.501399	1.470768	1.424762	1.371915	1.151439
19	ScalParC	1.434222	1.395821	1.350742	1.237631	1.111302
20	SVM-RFE	1.292808	1.30153	1.314116	1.257152	1.12359
21	Average	1.2983026	1.3008649	1.28334935	1.2540069	1.1816618
