ID	Application	10.00%	30.00%	50.00%	70.00%	90.00%
1	blackscholes	1.317577	1.289176	1.222055	1.168919	1.027371
2	bodytrack	1.038805	1.023722	1.033828	1.015318	1.009106
3	facesim	1.104836	1.118756	1.12551	1.139824	1.142974
4	ferret	1.271357	1.260491	1.227437	1.167711	1.111019
5	fluidanimate	1.281833	1.315788	1.29786	1.260519	1.225966
6	freqmine	1.493498	1.778764	2.089351	2.399583	2.602677
7	raytrace	1.279247	1.306995	1.262026	1.199841	1.172
8	swaptions	1.361854	1.336975	1.272056	1.184789	1.135365
9	vips	1.335468	1.308155	1.249668	1.171792	1.108412
10	x264	1.316669	1.331072	1.296015	1.266794	1.241971
11	canneal	1.435569	1.37591	1.337904	1.289596	1.265851
12	dedup	1.187183	1.225592	1.246278	1.243564	1.261818
13	streamcluster	0.902288	0.872182	0.791576	0.74385	0.735857
14	stream	1.417123	1.415737	1.282954	1.203343	0.896252
15	swish	1.361054	1.355575	1.342063	1.271303	1.23636
16	HOP	1.07422	1.009013	1.035138	1.022574	0.828653
17	KMeans	1.578714	1.452124	1.544951	1.483141	1.319614
18	Kmeans-Fuzzy	1.410697	1.457689	1.429702	1.359676	1.249047
19	ScalParC	1.434755	1.409195	1.343754	1.249292	1.114631
20	SVM-RFE	1.240104	1.321654	1.311894	1.267561	1.16412
21	Average	1.29214255	1.29822825	1.287101	1.2554495	1.1924532
