0  
1 0	0.445962	0.938652	   
2 1	0.749211	1.368462	   
3 2	0.866404	1.492352	   
4 3	0.910273	1.517411	   
5 4	1.011122	1.51211	   
6 5	0.982253	1.545385	   
7 6	1.011222	1.587074	   
8 7	0.968326	1.572118	   
9 8	1.007015	1.583145	   
10 9	1.026246	1.591654	   
11 10	0.968896	1.596362	   
12 11	0.947873	1.597696	   
13 12	0.962021	1.669494	   
14 13	0.955198	1.661474	   
15 14	0.985591	1.662201	   
16 15	1.020853	1.65959	   
17 16	1.008657	1.675175	   
18 17	1.034294	1.672574	   
19 18	0.980143	1.645749	   
20 19	0.981501	1.662455	   
21 20	0.97055	1.670322	   
22 21	0.940577	1.679514	   
23 22	0.981419	1.692479	   
24 23	1.008329	1.70158	   
25 24	1.037311	1.69144	   
26 25	1.027107	1.677104	   
27 26	1.002204	1.667315	   
28 27	0.97209	1.677312	   
29 28	0.966804	1.687547	   
30 29	0.987599	1.68959	   
31 30	0.987193	1.702981	   
32 31	0.999397	1.708989	   
33 32	1.031493	1.714441	   
34 33	0.992753	1.691042	   
35 34	1.004724	1.684679	   
36 35	1.006134	1.683967	   
37 36	0.950819	1.689599	   
38 37	1.021724	1.71369	   
39 38	0.980173	1.707777	   
40 39	0.967048	1.714951	   
41 40	1.023097	1.717546	   
42 41	0.967009	1.701134	   
43 42	0.977804	1.695698	   
44 43	1.01239	1.700707	   
45 44	0.962299	1.690146	   
46 45	0.958435	1.7062	   
47 46	1.003771	1.712661	   
48 47	0.988295	1.711989	   
49 48	0.988583	1.708688	   
50 49	1.01675	1.700217	   
51 50	0.972908	1.709308	   
52 51	0.989201	1.712106	   
53 52	1.012497	1.702998	   
54 53	1.013932	1.709756	   
55 54	1.024907	1.704081	   
56 55	1.017013	1.692504	   
57 56	0.988996	1.68427	   
58 57	1.012179	1.682542	   
59 58	0.98841	1.653798	   
60 59	1.010556	1.657028	   
61 60	0.985098	1.641926	   
62 61	0.990525	1.644954	   
63 62	1.004928	1.632438	   
64 63	0.973908	1.623037	   
65 64	0.999095	1.620139	   
66 65	0.947963	1.6302	   
67 66	0.974706	1.650436	   
68 67	0.993468	1.662235	   
69 68	1.013939	1.670477	   
70 69	0.990408	1.662671	   
71 70	1.028403	1.693193	   
72 71	1.00469	1.679586	   
73 72	0.969947	1.685602	   
74 73	0.991589	1.681721	   
75 74	0.965861	1.704871	   
76 75	0.975486	1.708039	   
77 76	0.987879	1.708621	   
78 77	1.043624	1.714449	   
79 78	0.990606	1.691903	   
80 79	0.996841	1.690165	   
81 80	0.994246	1.690543	   
82 81	0.994107	1.710068	   
83 82	1.000615	1.687645	   
84 83	1.00184	1.704258	   
85 84	1.024389	1.714533	   
86 85	0.98929	1.709559	   
87 86	1.011994	1.695715	   
88 87	1.006374	1.694439	   
89 88	0.992207	1.692662	   
90 89	1.01319	1.686742	   
91 90	1.020581	1.691177	   
92 91	0.993021	1.673957	   
93 92	1.002408	1.674819	   
94 93	0.984572	1.663884	   
95 94	0.958675	1.669947	   
96 95	1.003318	1.672243	   
97 96	0.974355	1.665882	   
98 97	0.989027	1.678538	   
99 98	1.011065	1.682181	   
100 99	0.981379	1.682983	   
101 100	1.012986	1.691314	   
102 101	0.998516	1.691967	   
103 102	0.974907	1.699628	   
104 103	0.982026	1.717186	   
105 104	0.989822	1.724048	   
106 105	0.981303	1.724803	   
107 106	1.012394	1.732245	   
108 107	1.007564	1.724592	   
109 108	1.01936	1.735291	   
110 109	1.011929	1.716871	   
111 110	0.996541	1.713687	   
112 111	1.015741	1.716332	   
113 112	0.968334	1.705559	   
114 113	0.941743	1.705934	   
115 114	0.933531	1.714477	   
116 115	0.967019	1.718259	   
117 116	0.976774	1.695056	   
118 117	0.975214	1.68249	   
119 118	1.036855	1.69137	   
120 119	0.963777	1.678789	   
121 120	0.958978	1.673485	   
122 121	1.048144	1.694667	   
123 122	0.990782	1.683732	   
124 123	1.007745	1.673043	   
125 124	1.016147	1.67522	   
126 125	0.950674	1.672171	   
127 126	0.966502	1.67376	   
128 127	1.002232	1.672149	   
129 128	1.002289	1.68144	   
130 129	0.990156	1.689762	   
131 130	1.02582	1.689298	   
132 131	0.992323	1.693424	   
133 132	1.008674	1.689501	   
134 133	1.014907	1.667461	   
135 134	1.002141	1.68571	   
136 135	0.969856	1.68137	   
137 136	0.988912	1.693426	   
138 137	1.007365	1.687986	   
139 138	0.951291	1.673387	   
