0 Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
1 BACKPROP 0.0 1.43 0.0 30.76 7.19 7.19 42.05 42.05 20.44 6.82 7.55 6.24
2 BFS 0.0 5.33 3.9 13.39 33.35 19.34 32.31 32.31 12.67 3.42 14.85 3.43
3 BLACKSCHOLES_10M 0.0 0.0 0.0 0.0 17.63 0.0 0.0 0.0 0.0 0.0 7.56 0.0
4 BODYTRACK 0.0 0.0 9.33 0.0 37.82 0.0 6.55 6.55 5.99 1.55 3.51 0.85
5 FACESIM 0.0 0.0 0.0 0.0 44.8 0.0 9.73 9.6 0.0 1.35 26.91 1.46
6 FERRET 0.0 0.0 14.32 0.0 25.41 0.0 3.51 3.51 0.0 0.34 0.43 0.2
7 HEARTWALL 0.0 0.0 5.24 0.0 25.32 0.0 2.05 2.05 0.0 0.0 0.72 0.0
8 HOTSPOT 0.0 22.41 2.57 12.04 27.45 12.04 25.68 25.68 15.07 2.25 9.95 3.25
9 JACOBI 0.0 9.94 8.94 45.57 9.81 9.81 55.74 56.23 24.59 9.51 8.61 9.89
10 KMEANS 0.0 0.0 11.04 0.0 18.28 0.0 0.0 0.0 0.0 0.0 0.0 0.0
11 KMEANSNF 0.0 0.0 58.27 1.93 58.27 37.08 37.32 37.34 6.26 4.28 21.73 4.05
12 LAVAMD 0.0 44.9 67.19 72.82 84.67 72.07 78.45 78.45 61.79 42.78 64.54 59.52
13 LEUKOCYTE 0.0 2.15 51.23 51.22 70.21 51.21 62.58 62.58 22.19 9.96 46.21 9.54
14 LUD 0.0 0.0 88.79 0.0 88.79 88.79 7.36 74.15 0.0 0.0 0.0 0.0
15 NW 0.0 17.7 7.49 17.68 60.88 17.68 34.55 34.55 21.25 4.4 18.55 3.23
16 SHA 0.0 8.85 16.05 0.0 41.75 0.98 14.65 14.65 6.77 1.97 6.75 1.56
17 SRAD 0.0 6.02 5.95 13.88 69.08 25.77 28.83 48.52 6.97 0.0 19.97 0.0
18 STREAM 0.0 19.31 0.59 42.46 19.23 19.23 51.01 51.65 17.67 12.57 11.25 10.48
19 STREAM_threads 0.0 0.48 33.55 61.74 100.0 28.43 69.77 70.22 18.22 14.31 100.0 14.43
20 X264_ducks 0.0 0.0 14.45 0.0 20.98 0.0 5.9 5.9 3.73 0.0 6.2 0.0
21 X264_native 0.0 0.0 15.45 0.0 22.97 0.0 2.54 2.54 0.0 0.0 11.34 0.0
22 AVERAGE 0.0 6.6 19.73 17.31 42.09 18.55 27.17 31.36 11.6 5.5 18.41 6.1
